Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
UITMMK,4/27/2018,Corporates,Industrial,Renewable Energy,4/27/2028,4/25/2018,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,3825450,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
ACAFP,10/25/2017,Corporates,Bank,Banks,10/26/2021,9/26/2017,AT MATURITY,USD,#N/A N/A,#N/A N/A,1830000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
UITMMK,4/27/2018,Corporates,Industrial,Renewable Energy,4/27/2023,4/25/2018,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,2550300,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
UITMMK,4/27/2018,Corporates,Industrial,Renewable Energy,4/26/2024,4/25/2018,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,2550300,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
UITMMK,4/27/2018,Corporates,Industrial,Renewable Energy,4/25/2025,4/25/2018,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,2550300,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
UITMMK,4/27/2018,Corporates,Industrial,Renewable Energy,4/27/2033,4/25/2018,AT MATURITY,MYR,#N/A Field Not Applicable,#N/A Field Not Applicable,3825450,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
YANTZE,8/30/2016,Corporates,Industrial,Power Generation,8/30/2026,8/25/2016,AT MATURITY,CNY,#N/A N/A,#N/A N/A,374285000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,11/23/2018,Corporates,Bank,Banks,11/23/2028,10/18/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,2267000,STEP CPN,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
TLDEIN,11/14/2017,Corporates,Industrial,Financial Services,11/14/2024,11/8/2017,SINKABLE,CNY,#N/A N/A,#N/A N/A,60334400,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,11/21/2017,Corporates,Bank,Banks,11/21/2022,11/9/2017,AT MATURITY,USD,#N/A N/A,#N/A N/A,88000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,12/7/2018,Corporates,Bank,Banks,12/7/2030,11/20/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,5697350,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
